Species,Treatment,Tray_Num,Individual,ANPP,BNPP,Notes,,,,,,
CN ,Control,,223,0.0306,0.0748,,,,,,,
CN ,Control,,224,0.0237,0.024,,,,,,,
CN ,Control,,233,0.0155,0.0427,,,,,,,
CN ,Control,,234,0.0221,0.0963,,,,,,,
CN ,Control,,235,0.0348,0.0992,,,,,,,
CN ,Control,,236,0.0401,0.137,,,,,,,
CN ,Control,,245,0.0162,0.0262,,,,,,,
CN ,Control,,246,0.0264,0.0693,,,,,,,
CN ,Control,,247,0.0438,0.0533,,,,,,,
CN ,Control,,248,0.0283,0.1072,,,,,,,
CN ,Control,,257,0.0330,0.0858,,,,,,,
CN ,Control,,258,0.0241,0.0499,,,,,,,
CN ,Control,,259,0.0255,0.0663,,,,,,,
CN ,Control,,260,0.0328,0.0884,,,,,,,
CN ,Control,,269,0.0330,0.0632,,,,,,,
CN ,Control,,270,0.0350,0.1251,,,,,,,
CN ,Control,,271,0.0191,0.037,,,,,,,
CN ,Control,,272,0.0246,0.043,,,,,,,
CN ,Control,,281,0.0268,0.0772,,,,,,,
CN ,Control,,282,0.0296,0.0801,,,,,,,
CN ,Control,,283,0.0323,0.1108,,,,,,,
CN ,Control,,284,0.0213,0.055,,,,,,,
CN ,Control,,293,0.0337,0.1025,,,,,,,
CN ,Control,,294,0.0272,0.0451,,,,,,,
CN ,Control,,295,0.0309,0.0774,,,,,,,
CN ,Control,,296,0.0432,0.0523,,,,,,,
CN ,S1,,305,0.0335,0.0325,,,,,,,
CN ,S1,,306,0.0756,0.0618,,,,,,,
CN ,S1,,307,0.0427,0.0429,,,,,,,
CN ,S1,,308,0.0739,0.0659,,,,,,,
CN ,S1,,317,0.0730,0.0976,,,,,,,
CN ,S1,,318,0.0824,0.0754,,,,,,,
CN ,S1,,319,0.0644,0.1123,,,,,,,
CN ,S1,,320,0.0749,0.0548,,,,,,,
CN ,S1,,329,0.1006,0.106,,,,,,,
CN ,S1,,330,0.0553,0.0512,,,,,,,
CN ,S1,,331,0.1748,0.2622,,,,,,,
CN ,S1,,332,0.1533,0.1192,,,,,,,
CN ,S1,,341,0.0451,0.034,,,,,,,
CN ,S1,,342,0.1226,0.0803,,,,,,,
CN ,S1,,343,0.1235,0.1019,,,,,,,
CN ,S1,,344,0.0565,0.0452,,,,,,,
CN ,S1,,353,0.0657,0.0667,,,,,,,
CN ,S1,,354,0.0742,0.0747,,,,,,,
CN ,S1,,355,0.0676,0.0595,,,,,,,
CN ,S1,,356,0.0880,0.0811,,,,,,,
CN ,S1,,365,0.0845,0.0872,,,,,,,
CN ,S1,,366,0.0614,0.0355,,,,,,,
CN ,S1,,367,0.0853,0.0534,,,,,,,
CN ,S1,,368,0.1060,0.2045,,,,,,,
CN ,S1,,377,0.0983,0.1411,,,,,,,
CN ,S1,,378,0.0558,0.0785,,,,,,,
CN ,S1,,379,0.0634,0.0849,,,,,,,
CN ,S1,,380,0.1040,0.1508,,,,,,,
CN ,S1,,389,0.0598,0.0726,,,,,,,
CN ,S1,,390,0.0535,0.0923,,,,,,,
CN ,S1,,391,0.0463,0.0643,,,,,,,
CN ,S1,,392,0.0904,0.1732,,,,,,,
CN ,S1,,401,0.0689,0.1213,,,,,,,
CN ,S1,,402,0.0958,0.1211,,,,,,,
CN ,S1,,403,0.0799,0.1507,,,,,,,
CN ,S1,,404,0.0653,0.0618,,,,,,,
CN ,S1,,413,0.1301,0.1616,,,,,,,
CN ,S1,,414,0.0651,0.1208,,,,,,,
CN ,S1,,415,0.0602,0.0664,,,,,,,
CN ,S1,,416,0.0886,0.1865,,,,,,,
CN ,S1,,425,0.1953,0.1382,,,,,,,
CN ,S1,,426,0.0470,0.0371,,,,,,,
CN ,S1,,427,0.0750,0.0773,,,,,,,
CN ,S1,,428,0.0505,0.025,,,,,,,
CN ,S1,,437,0.0551,0.0818,,,,,,,
CN ,S1,,438,0.0967,0.1004,,,,,,,
CN ,S1,,439,0.0702,,,,,,,,
CN ,S1,,440,0.0775,0.08701,,,,,,,
CN ,S1,,449,0.0313,0.0259,,,,,,,
CN ,S1,,450,0.0369,0.0337,,,,,,,
CN ,S1,,451,0.0367,0.0441,,,,,,,
CN ,S1,,452,0.0763,0.0623,,,,,,,
CN ,S1,,461,0.1244,0.22,,,,,,,
CN ,S1,,462,0.1007,0.1255,,,,,,,
CN ,S1,,463,0.0914,0.1249,,,,,,,
CN ,S1,,464,0.1315,0.1422,,,,,,,
CN ,S1,,473,0.0835,0.0826,,,,,,,
CN ,S1,,474,0.2705,0.1815,,,,,,,
CN ,S1,,475,0.0650,0.057,,,,,,,
CN ,S1,,476,0.0443,0.0363,,,,,,,
CN ,S1,,485,0.0305,0.039,,,,,,,
CN ,S1,,486,0.0712,0.0453,,,,,,,
CN ,S1,,487,0.0378,0.0328,,,,,,,
CN ,S1,,488,0.0893,0.06,,,,,,,
CN ,S1,,497,0.0347,0.0441,,,,,,,
CN ,S1,,498,0.0961,0.0838,,,,,,,
CN ,S1,,499,0.0528,0.0753,,,,,,,
CN ,S1,,500,0.0537,0.0704,,,,,,,
CN ,S1,,509,0.0681,0.0717,,,,,,,
CN ,S1,,510,0.0899,0.0965,,,,,,,
CN ,S1,,511,0.0685,0.075,,,,,,,
CN ,S1,,512,0.0886,0.0744,,,,,,,
CN ,S1,,521,0.0316,0.0241,,,,,,,
CN ,S1,,522,0.0874,0.0868,,,,,,,
CN ,S1,,523,0.0835,0.0808,,,,,,,
CN ,S1,,524,0.0634,0.0944,,,,,,,
CN ,S1,,533,0.0755,0.0514,,,,,,,
CN ,S1,,534,0.0626,0.0463,,,,,,,
CN ,S1,,535,0.0804,0.0587,,,,,,,
CN ,S1,,536,0.0278,0.0193,,,,,,,
CN ,S1,,545,0.2118,0.1667,,,,,,,
